ID,stars,goods,views,forks
101999983,1,1,1,520
101999981,0,0,15,1
101999979,13,13,47,1
101999978,6,6,4,1
101999971,2,4,17,50
101999950,0,0,17,1
101999946,0,0,1,22
101999943,2,2,7,116
101999940,0,0,4,1
101999935,1,1,2,25
101999913,1,1,5,1
101999909,0,0,7,1
101999908,1,1,3,1
101999898,0,0,2,1
101999888,0,1,2,1
101999877,0,0,2,1
101999876,1,2,3,1
101999865,0,0,1,60276
101999861,0,0,2,56502
101999857,0,0,1,1
101999853,0,0,1,1
101999847,0,0,20,1
101999846,3,4,62,589
101999843,0,0,1,1
101999839,0,0,1,1
101999837,0,1,2,286
101999835,0,0,5,478
101999829,2,2,5,20
101999812,1,1,8,463
101999810,2,2,12,1
101999804,0,0,2,1
101999802,1,1,3,1
101999801,1,3,6,1
101999796,1,0,2,7617
101999794,0,0,3,1
101999793,1,1,6,470
101999787,0,0,2,3
101999783,0,0,1,1
101999781,0,0,6,1
101999779,1,1,86,6
101999769,0,0,1,8693
101999759,0,0,1,1
101999748,0,0,2,1
101999745,0,0,3,2
101999741,1,1,14,1
101999733,3,4,2002,77
101999727,2,2,4,10
101999726,0,0,1,1
101999716,0,0,4,1
101999714,2,2,20,1
101999702,0,0,2,1
101999699,1,1,7,1
101999697,1,1,20,2
101999693,2,3,26,1
101999687,0,0,4,1
101999684,4,4,49,2
101999669,0,0,2,1
101999662,0,0,1,1
101999659,0,0,3,1
101999655,0,0,30,1
101999653,0,0,2,1
101999644,0,0,1,1
101999631,2,2,6,12
101999630,1,1,11,45
101999629,0,0,2,1
101999627,4,4,98,15
101999616,2,3,14,1
101999610,3,5,26,478
101999609,0,0,25,2
101999597,0,0,2,1
101999589,0,0,1,1
101999585,2,2,19,7
101999584,0,0,2,1
101999561,0,0,3,1
101999554,0,0,3,1
101999537,0,0,6,3
101999532,0,1,1,1
101999530,0,0,2,20
101999528,0,0,2,1
101999524,0,0,4,1
101999516,0,0,1,135
101999508,0,0,12,13
